Name,LocationQuery,EnrollmentCount,Category
Academy for Sciences & Agriculture,Academy for Sciences and Agriculture in vadnais heights,168,Tiny
Academy of Holy Angels,Academy of Holy Angels,741,Medium
Ada-Borup High School,Ada-Borup High School,156,Tiny
Adrian High School,Adrian High School in Adrian,157,Tiny
Aitkin High School,Aitkin High School,340,Small
AL-Amal School,AL-Amal School,71,Tiny
Albany High School,Albany High School in albany,468,Small
Albert Lea High School,Albert Lea High School in Albert Lea,796,Medium
Alden-Conger High School,Alden-Conger High School,111,Tiny
Alexandria High School,Jefferson High School in Alexandria,1126,Large
Andover High School,Andover High School,1614,Large
Annandale High School,Annandale High School,498,Small
Anoka High School,Anoka High School,2157,VeryLarge
Apple Valley High School,Apple Valley High School,1638,Large
ARTech High School,ARTech in northfield,65,Tiny
Ashby High School,Ashby High School in ashby,70,Tiny
Atwater-Cosmos-Grove City H.S.,Atwater-Cosmos-Grove City H.S.,190,Tiny
Austin High School,Austin High School,979,Medium
Austin Pacelli High School,Austin Pacelli High School,41,Tiny
Avalon School,Avalon School,130,Tiny
B O L D High School,BOLD high school in Olivia,237,Small
Badger High School,Badger High School in badger,44,Tiny
Bagley High School,Bagley High School,254,Small
Barnesville High School,Barnesville High School,223,Small
Barnum High School,Barnum High School,174,Tiny
Battle Lake High School,Battle Lake High School in battle lake,130,Tiny
Becker High School,Becker High School,722,Medium
Belgrade-Brooten-Elrosa H.S.,Belgrade-Brooten-Elrosa H.S.,178,Tiny
Belle Plaine High School,Belle Plaine High School,427,Small
Bemidji High School,Bemidji High School,1145,Large
Benilde-St. Margaret's School,Benilde-St. Margaret's School,930,Medium
Benson High School,Benson High School,282,Small
Bertha-Hewitt High School,Bertha-Hewitt High School in bertha,111,Tiny
Bethany Academy,Bethany Academy,116,Tiny
Bethlehem Academy,Bethlehem Academy,195,Tiny
Big Lake High School,Big Lake High School,857,Medium
Bigfork High School,Bigfork High School in bigfork,78,Tiny
Blackduck High School,Blackduck High School,156,Tiny
Blaine High School,Blaine High School,2551,VeryLarge
Blake School (The),Blake School (The),521,Medium
Blooming Prairie High School,Blooming Prairie High School,198,Tiny
Bloomington Jefferson High School,Bloomington Jefferson High School,1543,Large
Bloomington Kennedy High School,Bloomington Kennedy High School,1275,Large
Blue Earth Area High School,Blue Earth Area High School,322,Small
Braham High School,Braham High School,217,Small
Brainerd High School,Brainerd High School,1685,Large
Brandon High School,Brandon High School,63,Tiny
Breck School,Breck School in golden valley,398,Small
Breckenridge High School,Breckenridge High School,261,Small
Brooklyn Center High School,Brooklyn Center High School,329,Small
Browerville High School,Browerville High School,151,Tiny
Buffalo High School,Buffalo High School,1626,Large
Buffalo Lake-Hector-Stewart High School,Buffalo Lake-Hector-Stewart High School in hector,156,Tiny
Bug-O-Nay-Ge-Shig School,Bug-O-Nay-Ge-Shig School,47,Tiny
Burnsville High School,Burnsville High School,2530,VeryLarge
Butterfield-Odin High School,Butterfield High School in butterfield,57,Tiny
Byron High School,Byron High School,512,Medium
Caledonia High School,Caledonia High School in caledonia,300,Small
Calvin Christian High School,Calvin Christian High School,65,Tiny
Cambridge Christian School,Cambridge Christian School,40,Tiny
Cambridge-Isanti High School,Cambridge-Isanti High School,1367,Large
Campbell-Tintah High School,Campbell-Tintah High School in campbell,35,Tiny
Canby High School,Canby High School,157,Tiny
Cannon Falls High School,Cannon Falls High School,355,Small
Cannon Valley Lutheran,Cannon Valley Lutheran,27,Tiny
Carlton High School,Carlton High School,132,Tiny
Cass Lake-Bena High School,Cass Lake-Bena Secondary School in cass lake,156,Tiny
Cedar Mountain High School,Cedar Mountain High School,109,Tiny
Centennial High School,Centennial High School,2017,VeryLarge
Central Minnesota Christian,Central Minnesota Christian,85,Tiny
Champlin Park High School,Champlin Park High School,2571,VeryLarge
Chanhassen High School,Chanhassen High School,1383,Large
Chaska High School,Chaska High School,1042,Large
Chatfield High School,Chatfield Senior High School in Chatfield,251,Small
Cherry High School,Cherry High School in Iron Junction,83,Tiny
Chisago Lakes Area High School,Chisago Lakes Area High School in Lindstrom,1057,Large
Chisholm High School,Chisholm High School,159,Tiny
Chokio-Alberta High School,Chokio-Alberta High School,38,Tiny
Christ's Household of Faith,Christ's Household of Faith in saint paul,36,Tiny
Clearbrook-Gonvick High School,Clearbrook-Gonvick High School,117,Tiny
Cleveland High School,Cleveland High School,130,Tiny
Climax High School,climax high school in climax,37,Tiny
