Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Academy for Sciences & Agriculture,168,Tiny,"Academy For Sciences And Agriculture, 100 Vadnais Blvd, St Paul, MN 55127-4036, USA",45.0456584,-93.0945393
Academy of Holy Angels,741,Medium,"Academy of Holy Angels, 6600 Nicollet Ave, Richfield, MN 55423-2498, USA",44.8822035,-93.2799753
Ada-Borup High School,156,Tiny,"Minnesota, USA",46.729553,-94.6858998
Adrian High School,157,Tiny,"Adrian High School, 415 Kentucky Ave, Adrian, MN 56110-1151, USA",43.6321885,-95.9364082
Aitkin High School,340,Small,"Aitkin High School, 306 2nd St NW, Aitkin, MN 56431-1246, USA",46.5333828,-93.7112764
AL-Amal School,71,Tiny,"Al-Amal School, 1401 Gardena Ave NE, Fridley, MN 55432-5815, USA",45.074937,-93.235881
Albany High School,468,Small,"Albany Senior High School, Albany, MN 56307, USA",45.6319444,-94.5611111
Albert Lea High School,796,Medium,"Albert Lea High School, 2000 Tiger Ln, Albert Lea, MN 56007, USA",43.673759,-93.351606
Alden-Conger High School,111,Tiny,"Alden School, 215 N Broadway, Alden, MN 56009-8700, USA",43.6727334,-93.5743847
Alexandria High School,1126,Large,"Jefferson Senior High School, 1401 Jefferson St, Alexandria, MN 56308-2573, USA",45.8757952,-95.3719822
Andover High School,1614,Large,"Andover Senior High School, 2115 Andover Blvd, Andover, MN 55304-3407, USA",45.238369,-93.319477
Annandale High School,498,Small,"Annandale High School, 855 Hemlock St E, Annandale, MN 55302-1167, USA",45.266188,-94.111039
Anoka High School,2157,VeryLarge,"SCHOOL, 3939 7th Ave, Anoka, MN 55303-1299, USA",45.225014,-93.383184
Apple Valley High School,1638,Large,"Apple Valley High School, 14450 Hayes Rd, Apple Valley, MN 55124-6797, USA",44.742466,-93.230689
ARTech High School,65,Tiny,"Artech Charter School, 1719 Cannon Rd, Northfield, MN 55057-1680, USA",44.439626,-93.184897
Ashby High School,70,Tiny,"Ashby, MN, USA",46.093016,-95.8175498
Atwater-Cosmos-Grove City H.S.,190,Tiny,"Atwater Cosmos Grove City School, Atwater, MN 56209, USA",45.1333332,-94.7797222
Austin High School,979,Medium,"Austin High School, 301 3rd St NW, Austin, MN 55912-3196, USA",43.6683319,-92.9790235
Austin Pacelli High School,41,Tiny,"Pacelli High School, 311 4th St NW, Austin, MN 55912-3195, USA",43.6691296,-92.9801925
Avalon School,130,Tiny,"Avalon School, 1745 University Ave W, St Paul, MN 55104, USA",44.95631,-93.1743078
B O L D High School,237,Small,"Bold Senior High School, 701 9th St S, Olivia, MN 56277-1599, USA",44.7694444,-94.9877778
Badger High School,44,Tiny,"Badger, MN 56714, USA",48.7824785,-96.0144482
Bagley High School,254,Small,"Bagley Jr & Senior High, 1130 Main Ave N, Bagley, MN 56621-8146, USA",47.5294082,-95.3985543
Barnesville High School,223,Small,"Barnesville High School, 302 3rd St SE, Barnesville, MN 56514, USA",46.6508333,-96.4155556
Barnum High School,174,Tiny,"Lincoln School, 2 E Hwy 61, Esko, MN 55733-9629, USA",46.7356437,-92.3527821
Battle Lake High School,130,Tiny,"Battle Lake Secondary School, 402 W Summit St, Battle Lake, MN 56515-4029, USA",46.2831507,-95.7189134
Becker High School,722,Medium,"Becker High School, 12000 Hancock St SE, Becker, MN 55308-9526, USA",45.3990075,-93.8728094
Belgrade-Brooten-Elrosa H.S.,178,Tiny,"Belgrade-Brooten-Elrosa Secondary, 710 Washburn Ave, Belgrade, MN 56312-4627, USA",45.4491667,-95.0038889
Belle Plaine High School,427,Small,"Belle Plaine High School, 220 S Market St, Belle Plaine, MN 56011-1796, USA",44.6202777,-93.7719444
Bemidji High School,1145,Large,"Bemidji High School, 2900 Division St W, Bemidji, MN 56601, USA",47.4685714,-94.9258903
Benilde-St. Margaret's School,930,Medium,"Benilde-St. Margaret's School, 2501 Hwy 100 S, St Louis Park, MN 55416, USA",44.958254,-93.3449936
Benson High School,282,Small,"Benson Secondary School, 1400 Montana Ave, Benson, MN 56215-1246, USA",45.3202778,-95.5977778
Bertha-Hewitt High School,111,Tiny,"Bertha, MN 56437, USA",46.2666295,-95.0628047
Bethany Academy,116,Tiny,"Minnesota, USA",46.729553,-94.6858998
Bethlehem Academy,195,Tiny,"Bethlehem Academy, 105 3rd Ave SW, Faribault, MN 55021-6096, USA",44.2888525,-93.2721603
Big Lake High School,857,Medium,"Big Lake Senior High School, 501 Minnesota Ave, Big Lake, MN 55309-9246, USA",45.3396582,-93.7383986
Bigfork High School,78,Tiny,"Bigfork, MN 56628, USA",47.7443867,-93.6540847
Blackduck High School,156,Tiny,"Blackduck Public Schools, 156 1st St NE, Blackduck, MN 56630, USA",47.7317194,-94.5499738
